交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/19,CBO,201906  ,20.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.5,0,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.55,0,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.6,0,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.2,0,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.35,0,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.5,0,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.4,0,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.55,0,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.45,0,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.16,0,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,20.0000,買權,-,-,-,-,0,4.2,0,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,20.0000,賣權,0.01,0.01,0.01,0.01,25,0.01,60,-,0.01,0.01,0.01,,一般,
2019/06/12,CBO,201906  ,20.0000,賣權,-,-,-,-,0,0.01,35,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,20.0000,賣權,-,-,-,-,0,0.01,35,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,20.0000,賣權,-,-,-,-,0,0.01,35,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,20.0000,賣權,-,-,-,-,0,0.01,35,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,20.0000,賣權,-,-,-,-,0,0.01,35,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,20.0000,賣權,-,-,-,-,0,0.01,60,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,20.0000,賣權,-,-,-,-,0,0.01,60,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,20.0000,賣權,-,-,-,-,0,0.01,60,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,20.0000,賣權,-,-,-,-,0,0,60,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,20.0000,賣權,0.01,0.01,0.01,0.01,5,0.01,35,-,0.03,0.01,0.01,,一般,
2019/06/03,CBO,201906  ,20.0000,賣權,-,-,-,-,0,0.01,30,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,20.5000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,20.5000,買權,-,-,-,-,0,4,0,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,20.5000,買權,-,-,-,-,0,4.05,0,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,20.5000,買權,-,-,-,-,0,3.7,0,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,20.5000,買權,-,-,-,-,0,4.1,0,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,20.5000,買權,-,-,-,-,0,3.85,0,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,20.5000,買權,-,-,-,-,0,4,0,-,-,-,-,,一般,
